Date,Close,RSI,SMA_200,Signal,Signal_Name
2010-12-20,1.0,66.93291997261612,0.945149100124836,1,BUY
2010-12-22,1.0135999917984009,71.69276527699233,0.9459526005387306,-1,SELL
2010-12-23,1.0117000341415405,72.72734309887937,0.9463436007499695,1,BUY
2010-12-24,1.0130000114440918,66.48940217621049,0.9467526006698609,-1,SELL
2011-01-12,0.9715999960899353,14.910597957329458,0.9513865005970001,1,BUY
2011-01-14,0.9868000149726868,32.75856513192902,0.9519039008021355,-1,SELL
2011-01-19,0.989300012588501,33.05606801957167,0.952683401107788,1,BUY
2011-01-20,0.9922000169754028,36.16148998521771,0.9529689010977745,-1,SELL
2011-01-28,0.9847999811172485,48.82682290847226,0.9546898511052132,1,BUY
2011-02-02,1.0011999607086182,62.70048831175454,0.9556688511371613,-1,SELL
2011-02-23,0.9897000193595886,43.636396981590096,0.9613921010494232,1,BUY
2011-03-01,0.9890000224113464,31.9788203552898,0.9636499008536339,-1,SELL
2011-04-06,0.9939000010490417,70.84115064952428,0.9769850504398346,1,BUY
2011-04-11,1.009600043296814,75.44558919514806,0.9786466509103775,-1,SELL
2011-04-20,1.006600022315979,54.46985318172356,0.9816912004351616,1,BUY
2011-04-22,1.0240999460220337,67.54249717176853,0.9827616503834724,-1,SELL
2011-04-27,1.0256999731063843,75.39930778715645,0.9843597003817558,1,BUY
2011-05-03,1.041200041770935,80.22507915334667,0.9865914005041122,-1,SELL
2011-05-06,1.0246000289916992,58.0551787617479,0.9880729004740715,1,BUY
2011-05-10,1.0399999618530273,71.5761637139042,0.9891201001405716,-1,SELL
2011-05-16,1.0228999853134155,49.93158916972572,0.9910446000099182,1,BUY
2011-05-18,1.0332000255584717,50.806504591316,0.9919421002268791,-1,SELL
2011-05-24,1.0267000198364258,45.10089870965083,0.99384860008955,1,BUY
2011-05-25,1.0305999517440796,50.793612567066155,0.9943285998702049,-1,SELL
2011-05-26,1.0293999910354614,53.6585188563869,0.9948045998811722,1,BUY
2011-05-30,1.045699954032898,54.285719407501425,0.995987599492073,-1,SELL
2011-06-01,1.0329999923706055,53.56081012962711,0.9970370995998382,1,BUY
2011-06-07,1.0511000156402588,62.804035732192744,0.9991545996069908,-1,SELL
2011-06-28,1.0302000045776367,35.66883655948813,1.005061100125313,1,BUY
2011-07-01,1.0324000120162964,50.614203117586065,1.0058881005644797,-1,SELL
2011-07-06,1.0289000272750854,43.31690764237238,1.006579600572586,1,BUY
2011-07-12,1.0298000574111938,50.16614058780896,1.007300600707531,-1,SELL
2011-07-22,1.0220999717712402,38.64121851461894,1.0084420999884605,1,BUY
