Date,TQQQ_Price,QQQ_Price,Excess_Return,Excess_ZScore,Position,Strategy_Return,Strategy_Cumulative,QQQ_Cumulative
2018-12-11,5.400209426879883,156.1357879638672,-0.014334156254137859,0.10187785496497395,1,0.010664109345998407,3.81945417852414,3.345035259301526
2018-12-12,5.536259174346924,157.51002502441406,-0.01595205451392681,-0.6118719724596727,0,0.02488129782117821,3.914487155454343,3.374347946723253
2018-12-13,5.537452697753906,157.55775451660156,-0.012208923122985424,1.0599865116075005,1,0.0,3.914487155454343,3.375370303978747
2018-12-14,5.119757652282715,153.721435546875,-0.01726206930922239,-1.0991472043965593,0,-0.07842748877581515,3.607483758006875,3.2921674866498027
2018-12-17,4.789180278778076,150.23814392089844,-0.014290263846476747,0.40453040870764484,1,0.0,3.607483758006875,3.216709549175534
2018-12-18,4.869140148162842,151.18295288085938,-0.014581468565885658,0.2608436596816769,0,0.016558095554587177,3.667216818783574,3.236875264113522
2018-12-19,4.517082214355469,147.4706573486328,-0.015890841615659068,-0.23899126848654276,0,0.0,3.667216818783574,3.1564017249137954
2018-12-20,4.3356828689575195,145.3329315185547,-0.0064086900454661255,2.462670071467256,0,0.0,3.667216818783574,3.1103118431948977
2018-12-21,3.916792869567871,140.82858276367188,-0.011273853820124746,0.812174854827599,0,0.0,3.667216818783574,3.0123875185604354
2018-12-24,3.6267929077148438,137.33633422851562,-0.012461983988053482,0.3242827099555828,0,0.0,3.667216818783574,2.936744919350942
2018-12-26,4.285373210906982,145.9114532470703,-0.02805175667696372,-2.3710655372365634,0,0.0,3.667216818783574,3.1146148707322494
2018-12-27,4.346320152282715,146.4761199951172,-0.024109401915958617,-1.341464789945778,1,0.0,3.667216818783574,3.1266449417605067
2018-12-28,4.328394889831543,146.3995819091797,-0.025980793023405557,-1.2897183903217813,1,-0.004132766984831209,3.6520610661886876,3.125010750715361
2018-12-31,4.426385879516602,147.63417053222656,-0.024309547890498134,-0.8988905489438264,1,0.022386644435332333,3.733818458733574,3.1512534889085746
2019-01-02,4.489724159240723,148.22755432128906,-0.02414888225353473,-0.7274972962947359,1,0.014207842863178798,3.7868679646748977,3.1638938887013603
2019-01-03,4.0547332763671875,143.38485717773438,-0.024157288278439992,-0.59833405534028,1,-0.10190635647701642,3.400962047935344,3.058801046244447
2019-01-04,4.573375225067139,149.51951599121094,-0.0290078739092562,-1.016715421746763,0,0.12036658466535287,3.810324234221805,3.1869482985215924
2019-01-07,4.719168663024902,151.29962158203125,-0.03595125836841437,-1.63810020811119,1,0.0,3.810324234221805,3.2246664487006815
2019-01-08,4.85540246963501,152.668212890625,-0.027351970528894237,-0.30718195754517275,1,0.028459342905952718,3.9187635581863853,3.2537042599173454
2019-01-09,4.970124244689941,153.91238403320312,-0.026755704653547985,0.06254442863210584,1,0.023352842452129197,4.010277826167857,3.280112892497332
